CPM,uSv/h,Vcc,1693687229.617458
0,0.0000,5.36,1693687244.6176476
32,0.1006,5.34,1693687260.1219301
28,0.0881,5.39,1693687275.6263561
24,0.0755,5.36,1693687291.1296458
16,0.0503,5.34,1693687306.6329815
36,0.1132,5.36,1693687322.137283
36,0.1132,5.34,1693687337.6405833
16,0.0503,5.36,1693687353.1437666
36,0.1132,5.34,1693687368.6480606
24,0.0755,5.36,1693687384.1514845
8,0.0252,5.34,1693687399.6536982
20,0.0629,5.36,1693687415.1590683
8,0.0252,5.36,1693687430.6613295
28,0.0881,5.34,1693687446.1655138
20,0.0629,5.36,1693687461.6694667
16,0.0503,5.36,1693687477.1724286
20,0.0629,5.34,1693687492.675309
28,0.0881,5.34,1693687508.1792357
16,0.0503,5.36,1693687523.682184
24,0.0755,5.36,1693687539.1861582
32,0.1006,5.34,1693687554.6901221
16,0.0503,5.36,1693687570.193127
24,0.0755,5.36,1693687585.6971648
36,0.1132,5.36,1693687601.201163
28,0.0881,5.31,1693687616.7041154
12,0.0377,5.34,1693687632.2082
16,0.0503,5.36,1693687647.7111502
32,0.1006,5.36,1693687663.214178
28,0.0881,5.36,1693687678.718227
28,0.0881,5.36,1693687694.2212558
28,0.0881,5.39,1693687709.7242534
52,0.1635,5.34,1693687725.2283432
24,0.0755,5.34,1693687740.7314556
12,0.0377,5.36,1693687756.2344592
20,0.0629,5.36,1693687771.738535
28,0.0881,5.34,1693687787.2415855
4,0.0126,5.36,1693687802.743482
24,0.0755,5.34,1693687818.248781
24,0.0755,5.34,1693687833.7518523
36,0.1132,5.34,1693687849.254957
24,0.0755,5.36,1693687864.7590373
24,0.0755,5.39,1693687880.2621603
32,0.1006,5.36,1693687895.7652445
24,0.0755,5.36,1693687911.2693844
16,0.0503,5.34,1693687926.7724936
12,0.0377,5.36,1693687942.2766376
8,0.0252,5.34,1693687957.7797165
32,0.1006,5.39,1693687973.283867
24,0.0755,5.36,1693687988.7880435
24,0.0755,5.36,1693688004.292225
12,0.0377,5.36,1693688019.7952874
20,0.0629,5.34,1693688035.29945
20,0.0629,5.36,1693688050.8025985
40,0.1258,5.34,1693688066.3057234
40,0.1258,5.36,1693688081.8099244
28,0.0881,5.34,1693688097.313064
28,0.0881,5.34,1693688112.8162284
28,0.0881,5.36,1693688128.3203595
24,0.0755,5.34,1693688143.8235233
40,0.1258,5.39,1693688159.326668
16,0.0503,5.34,1693688174.8308554
24,0.0755,5.34,1693688190.3340242
12,0.0377,5.36,1693688205.8372042
36,0.1132,5.31,1693688221.3413951
32,0.1006,5.34,1693688236.8445563
8,0.0252,5.34,1693688252.3466449
36,0.1132,5.31,1693688267.8519225
28,0.0881,5.36,1693688283.3550868
24,0.0755,5.34,1693688298.8582761
28,0.0881,5.34,1693688314.3624854
16,0.0503,5.34,1693688329.8656404
36,0.1132,5.34,1693688345.3698988
28,0.0881,5.39,1693688360.8740814
4,0.0126,5.31,1693688376.3761663
16,0.0503,5.39,1693688391.881488
20,0.0629,5.34,1693688407.3856843
28,0.0881,5.34,1693688422.888872
40,0.1258,5.39,1693688438.3931134
28,0.0881,5.34,1693688453.8962715
16,0.0503,5.36,1693688469.3994827
20,0.0629,5.34,1693688484.9037032
20,0.0629,5.34,1693688500.4069016
20,0.0629,5.36,1693688515.910115
44,0.1384,5.34,1693688531.4143376
20,0.0629,5.36,1693688546.9175467
20,0.0629,5.34,1693688562.420732
16,0.0503,5.34,1693688577.9250472
8,0.0252,5.36,1693688593.427156
36,0.1132,5.34,1693688608.931373
32,0.1006,5.36,1693688624.4356341
20,0.0629,5.39,1693688639.938814
24,0.0755,5.34,1693688655.442046
20,0.0629,5.34,1693688670.9462564
16,0.0503,5.36,1693688686.449375
8,0.0252,5.29,1693688701.9515562
24,0.0755,5.36,1693688717.4570327
48,0.1509,5.34,1693688732.9601493
28,0.0881,5.36,1693688748.4644573
16,0.0503,5.36,1693688763.9686182
24,0.0755,5.34,1693688779.471838
20,0.0629,5.34,1693688794.976249
16,0.0503,5.36,1693688810.4803245
32,0.1006,5.36,1693688825.9835422
24,0.0755,5.34,1693688841.4877667
24,0.0755,5.39,1693688856.9910047
8,0.0252,5.34,1693688872.493177
36,0.1132,5.36,1693688887.9984903
16,0.0503,5.34,1693688903.50172
44,0.1384,5.39,1693688919.005016
36,0.1132,5.31,1693688934.509182
16,0.0503,5.36,1693688950.0124085
28,0.0881,5.36,1693688965.5156276
32,0.1006,5.34,1693688981.0198677
24,0.0755,5.36,1693688996.5230937
12,0.0377,5.34,1693689012.0263102
28,0.0881,5.34,1693689027.530592
24,0.0755,5.34,1693689043.0337965
28,0.0881,5.36,1693689058.5371153
20,0.0629,5.36,1693689074.0412695
24,0.0755,5.36,1693689089.5445051
28,0.0881,5.36,1693689105.0477247
40,0.1258,5.34,1693689120.5519845
28,0.0881,5.34,1693689136.0552022
20,0.0629,5.34,1693689151.5594616
44,0.1384,5.39,1693689167.0637136
24,0.0755,5.34,1693689182.566931
28,0.0881,5.39,1693689198.0711882
28,0.0881,5.34,1693689213.575448
4,0.0126,5.34,1693689229.077611
36,0.1132,5.36,1693689244.5829322
16,0.0503,5.36,1693689260.086184
44,0.1384,5.34,1693689275.589407
12,0.0377,5.36,1693689291.0936487
24,0.0755,5.34,1693689306.5967958
24,0.0755,5.34,1693689322.1000426
20,0.0629,5.36,1693689337.604375
16,0.0503,5.34,1693689353.1075985
28,0.0881,5.36,1693689368.6108696
24,0.0755,5.39,1693689384.115123
32,0.1006,5.36,1693689399.6183472
20,0.0629,5.36,1693689415.1216033
20,0.0629,5.31,1693689430.625865
20,0.0629,5.36,1693689446.1290832
8,0.0252,5.39,1693689461.6312726
8,0.0252,5.36,1693689477.1354976
32,0.1006,5.36,1693689492.6398077
16,0.0503,5.36,1693689508.1430457
32,0.1006,5.34,1693689523.6473224
12,0.0377,5.34,1693689539.1505244
16,0.0503,5.36,1693689554.6547835
16,0.0503,5.34,1693689570.1590536
12,0.0377,5.34,1693689585.6622987
20,0.0629,5.34,1693689601.1666162
20,0.0629,5.36,1693689616.6708152
40,0.1258,5.39,1693689632.1740577
8,0.0252,5.31,1693689647.677232
28,0.0881,5.36,1693689663.1815422
24,0.0755,5.34,1693689678.6847684
16,0.0503,5.36,1693689694.1890628
36,0.1132,5.36,1693689709.69231
32,0.1006,5.34,1693689725.1955197
24,0.0755,5.36,1693689740.6997855
36,0.1132,5.34,1693689756.203033
32,0.1006,5.34,1693689771.706283
16,0.0503,5.36,1693689787.210522
20,0.0629,5.36,1693689802.7137978
28,0.0881,5.36,1693689818.2170584
24,0.0755,5.36,1693689833.7212858
16,0.0503,5.34,1693689849.224505
28,0.0881,5.34,1693689864.727736
16,0.0503,5.31,1693689880.2320158
56,0.1761,5.31,1693689895.7352464
28,0.0881,5.31,1693689911.2384822
24,0.0755,5.36,1693689926.7427447
24,0.0755,5.39,1693689942.245972
32,0.1006,5.34,1693689957.7502143
12,0.0377,5.36,1693689973.2544823
28,0.0881,5.36,1693689988.75775
8,0.0252,5.34,1693690004.2609193
32,0.1006,5.36,1693690019.7662454
12,0.0377,5.36,1693690035.2695112
28,0.0881,5.34,1693690050.7737677
12,0.0377,5.34,1693690066.277156
24,0.0755,5.31,1693690081.7802382
24,0.0755,5.34,1693690097.2844992
20,0.0629,5.39,1693690112.7877681
16,0.0503,5.36,1693690128.2909951
16,0.0503,5.36,1693690143.7952516
20,0.0629,5.34,1693690159.298494
32,0.1006,5.39,1693690174.8017416
24,0.0755,5.36,1693690190.3060422
28,0.0881,5.34,1693690205.8092384
24,0.0755,5.34,1693690221.312362
20,0.0629,5.36,1693690236.816755
44,0.1384,5.36,1693690252.319994
20,0.0629,5.36,1693690267.8232088
12,0.0377,5.36,1693690283.3274796
32,0.1006,5.34,1693690298.8307517
24,0.0755,5.36,1693690314.333959
36,0.1132,5.34,1693690329.838225
28,0.0881,5.36,1693690345.3414524
16,0.0503,5.34,1693690360.8457234
36,0.1132,5.34,1693690376.3500054
16,0.0503,5.34,1693690391.8532488
20,0.0629,5.36,1693690407.3574998
32,0.1006,5.34,1693690422.8617716
32,0.1006,5.36,1693690438.3650427
32,0.1006,5.34,1693690453.8692503
20,0.0629,5.36,1693690469.3724964
24,0.0755,5.34,1693690484.8757257
20,0.0629,5.34,1693690500.380009
20,0.0629,5.36,1693690515.883251
16,0.0503,5.36,1693690531.3865108
16,0.0503,5.36,1693690546.890746
8,0.0252,5.34,1693690562.392921
16,0.0503,5.39,1693690577.8972306
12,0.0377,5.34,1693690593.401495
32,0.1006,5.34,1693690608.9047358
16,0.0503,5.31,1693690624.407976
16,0.0503,5.36,1693690639.9122403
20,0.0629,5.39,1693690655.4154625
36,0.1132,5.36,1693690670.9187143
32,0.1006,5.34,1693690686.4229782
20,0.0629,5.36,1693690701.9262238
28,0.0881,5.31,1693690717.4294589
32,0.1006,5.34,1693690732.933715
24,0.0755,5.31,1693690748.4369998
20,0.0629,5.34,1693690763.9412313
28,0.0881,5.34,1693690779.4455438
36,0.1132,5.34,1693690794.9487338
12,0.0377,5.31,1693690810.4530513
24,0.0755,5.34,1693690825.9572623
